timestamp	exp_id	code_sha	parent_sha	description	status	kl_divergence	base_type	diffusion	refine_iterations	model_size_mb	quantize_time_s	eval_time_s	tokens_per_sec	ppl	ppl_base	ppl_cor	ppl_ln_ratio	ppl_ratio	ppl_diff	kld_mean	kld_max	kld_99_9	kld_99_0	kld_95_0	kld_90_0	kld_median	kld_10_0	kld_5_0	kld_1_0	kld_0_1	kld_min	dp_mean	dp_max	dp_99_9	dp_99_0	dp_95_0	dp_90_0	dp_75_0	dp_median	dp_25_0	dp_10_0	dp_5_0	dp_1_0	dp_0_1	dp_min	dp_rms	same_top_p
2026-07-06T19:52	001	56636a024	5403bc688	Weight exponent 0.30 + per-sub-block sigma2	failed					8767	420																																	
2026-07-06T20:02	002	f7185f6a3	1d992088f	Weight exponent 0.30 + per-sub-block sigma2 (FAST pow: exp2f)	failed					8908	420
2026-07-06T20:39	003	6a92f98c7	fb627a6b3	Weight exponent 0.30 + per-sub-block sigma2 (20 min timeout)	regression	0.025029	IQ4_XS	0	0	14589.35	700.25	177	112.5	6.897422	6.791716	99.40	0.015444	1.015564	0.105706	0.025029	21.311323	2.514766	0.228832	0.065597	0.037615	0.007385	0.000199	0.000055	0.000007	0.000000	-0.000033	-0.161	99.580	30.095	10.208	4.375	2.481	0.505	-0.001	-0.633	-2.800	-4.982	-13.102	-35.196	-98.889	4.245	94.194
2026-07-06T21:35	004	56b436171	34338eb0b	Superblock d candidate search (±8%, 33 candidates, 0.5% step)	regression	0.031630	IQ4_XS	0	0	14589.35	781.85	177	112.5	6.865974	6.791716	99.22	0.010874	1.010934	0.074259	0.031630	18.418768	2.897743	0.280294	0.081352	0.047312	0.009577	0.000242	0.000066	0.000008	-0.000001	-0.000044	0.204	95.601	34.409	12.108	5.648	3.522	0.971	0.009	-0.397	-2.525	-4.868	-13.094	-40.430	-99.468	4.704	93.761
2026-07-06T21:17	005	402600d42	0df952b02	Post-d level perturbation (±1 around chosen l)	regression	0.025166	IQ4_XS	0	0	14589.35	760.23	110	930	6.893853	6.791716	99.42	0.014927	1.015039	0.102138	0.025166	22.727528	1.985906	0.236642	0.064952	0.037858	0.007369	0.000195	0.000055	0.000007	0.000000	-0.000036	-0.230	99.717	31.045	9.925	4.252	2.345	0.451	-0.004	-0.706	-2.926	-5.036	-12.966	-37.013	-98.931	4.267	94.159
2026-07-09T07:10	006	148ea720e	3fd5e102e	K-means learned 16-entry codebook from weight samples	regression	0.027259	IQ4_XS	0	0	14589.35	719.42	118	868	6.890253	6.791716	99.35	0.014404	1.014509	0.098538	0.027259	21.453804	2.084320	0.248079	0.071007	0.040494	0.007687	0.000202	0.000056	0.000008	0.000000	-0.000027	-0.062	99.867	30.005	11.242	4.743	2.721	0.605	0.000	-0.561	-2.744	-4.903	-13.165	-39.540	-94.971	4.396	94.076
2026-07-09T07:26	007	56cbf7097	9c1bb1cdf	Per-sub-block sigma2 with sqrtf (isolated from exp-003 powf)	improvement	0.024811	IQ4_XS	0	0	14589.35	648.93	112	914	6.913070	6.791716	99.44	0.017710	1.017868	0.121354	0.024811	22.422974	2.147159	0.234366	0.066682	0.038213	0.007404	0.000201	0.000054	0.000007	0.000000	-0.000035	-0.219	99.723	31.499	9.948	4.290	2.412	0.462	-0.003	-0.676	-2.870	-5.037	-13.241	-38.753	-99.760	4.251	94.018
2026-07-09T07:36	008	46a5ee57a	c9de531d5	Reduce ntry from 7 to 3 (less per-sub-block d overfitting)	regression	0.026841	IQ4_XS	0	0	14589.35	386.14	112	914	6.924274	6.791716	99.38	0.019330	1.019518	0.132558	0.026841	20.783348	2.506557	0.239913	0.067498	0.038425	0.007568	0.000203	0.000057	0.000007	0.000000	-0.000040	-0.240	99.328	33.240	10.178	4.229	2.372	0.457	-0.004	-0.702	-2.947	-5.125	-13.381	-42.307	-99.821	4.420	94.108
2026-07-09T07:51	009	6edf1a620	555be8939	Superblock d divisor 32→28 (finer sub-block scale quantization)	regression	0.025410	IQ4_XS	0	0	14589.35	649.98	112	914	6.895537	6.791716	99.40	0.015171	1.015287	0.103822	0.025410	21.086763	1.656061	0.233546	0.067187	0.038556	0.007447	0.000197	0.000055	0.000007	-0.000000	-0.000036	-0.235	99.551	32.322	10.274	4.255	2.372	0.434	-0.005	-0.720	-2.975	-5.104	-13.390	-38.578	-99.756	4.232	94.073
2026-07-09T08:06	010	7005ff50d	a8b909acd	Remove sigma2 from weight formula (qw * xb^2 only)	regression	0.027991	IQ4_XS	0	0	14589.35	645.66	112	914	6.932864	6.791716	99.29	0.020569	1.020782	0.141148	0.027991	23.472794	2.050540	0.253856	0.072744	0.041489	0.008340	0.000213	0.000058	0.000007	0.000000	-0.000023	-0.268	99.879	31.288	10.409	4.433	2.458	0.458	-0.004	-0.753	-3.106	-5.491	-14.025	-40.910	-96.135	4.446	93.841
